Age,"Height, cm",Weight,Place of birth,Gold,Silver,Bronze,Total,Sport,Sex_F,Sex_M
35,194.0,95.0,7,0,0,0,0,16,0,1
18,170.0,60.0,186,0,0,0,0,6,1,0
25,165.0,59.0,121,0,0,0,0,9,1,0
23,178.0,62.0,53,0,0,0,0,2,0,1
29,195.0,92.0,187,0,0,0,0,2,0,1
17,188.0,79.0,114,0,0,0,0,6,0,1
26,177.0,59.0,48,0,0,0,0,2,1,0
25,168.0,85.0,162,0,0,0,0,9,1,0
24,182.0,96.0,58,0,0,0,0,4,0,1
24,173.0,57.0,24,0,0,0,0,2,1,0
24,180.0,76.0,83,0,0,0,0,2,0,1
22,167.0,54.0,151,0,0,0,0,2,1,0
25,165.0,55.0,99,0,0,0,0,9,1,0
28,160.0,48.0,108,0,0,0,0,22,1,0
25,164.0,60.0,92,0,0,0,0,10,1,0
22,177.0,58.0,187,0,0,0,0,2,1,0
30,187.0,82.0,83,0,0,0,0,2,0,1
19,172.0,60.0,13,0,0,0,0,4,0,1
54,157.0,60.0,13,0,0,0,0,9,1,0
19,173.0,64.0,11,0,0,0,0,6,1,0
26,172.0,70.0,95,0,0,0,0,2,0,1
32,171.0,58.0,55,0,0,0,0,2,0,1
36,158.0,65.0,93,0,0,0,0,9,1,0
21,174.0,62.0,18,0,0,0,0,6,1,0
21,194.0,92.0,54,0,0,0,0,12,0,1
26,161.0,42.0,59,0,0,0,0,2,1,0
24,168.0,53.0,59,0,0,0,0,2,1,0
25,167.0,56.0,24,0,0,0,0,2,1,0
26,179.0,68.0,61,0,0,0,0,2,0,1
27,152.0,52.0,186,0,0,0,0,2,1,0
30,180.0,96.0,62,0,0,0,0,4,0,1
20,200.0,84.0,162,0,0,0,0,16,0,1
27,170.0,55.0,39,0,0,0,0,2,1,0
18,179.0,70.0,148,0,0,0,0,6,0,1
25,179.0,70.0,48,0,0,0,0,7,0,1
26,188.0,118.0,180,0,0,0,0,2,0,1
28,185.0,88.0,90,0,0,0,0,2,0,1
23,173.0,71.0,90,0,0,0,0,6,1,0
22,165.0,55.0,70,0,0,0,0,2,1,0
32,176.0,68.0,11,0,0,0,0,8,0,1
28,178.0,81.0,111,0,0,0,0,1,0,1
27,161.0,60.0,11,0,0,0,0,10,1,0
20,171.0,60.0,79,0,0,0,0,6,1,0
25,170.0,58.0,70,1,0,1,2,13,1,0
30,164.0,44.0,62,0,0,0,0,2,1,0
28,179.0,73.0,144,0,0,0,0,2,0,1
27,173.0,75.0,126,0,0,0,0,1,1,0
29,188.0,100.0,66,0,0,0,0,1,0,1
23,183.0,90.0,180,0,0,0,0,2,0,1
27,175.0,100.0,151,0,0,0,0,2,1,0
19,190.0,82.0,74,0,0,0,0,6,0,1
22,167.0,63.0,42,0,0,0,0,20,0,1
35,177.0,84.0,180,0,0,0,0,4,0,1
24,185.0,95.0,184,0,0,0,0,2,0,1
20,175.0,65.0,29,0,0,0,0,6,1,0
25,165.0,66.0,54,0,0,0,0,1,0,1
21,160.0,55.0,54,0,0,0,0,4,1,0
24,166.0,60.0,112,0,0,0,0,20,0,1
24,182.0,82.0,66,0,0,0,0,2,0,1
22,173.0,51.0,59,0,0,0,0,2,1,0
27,189.0,96.0,179,0,0,0,0,4,0,1
21,168.0,60.0,29,0,0,0,0,6,0,1
21,186.0,68.0,180,0,0,0,0,16,1,0
26,169.0,54.0,180,0,0,0,0,2,1,0
22,180.0,58.0,180,0,0,0,0,2,1,0
20,168.0,58.0,183,0,0,0,0,2,0,1
22,180.0,59.0,180,0,0,0,0,2,1,0
23,178.0,74.0,179,0,0,0,0,4,0,1
30,191.0,120.0,36,0,0,0,0,4,0,1
39,177.0,88.0,8,0,0,0,0,9,0,1
26,167.0,54.0,93,0,0,0,0,2,1,0
52,180.0,74.0,116,0,0,0,0,13,0,1
23,175.0,63.0,1,0,0,0,0,2,0,1
21,172.0,60.0,92,0,0,0,0,2,0,1
20,175.0,62.0,111,0,0,0,0,2,0,1
22,190.0,120.0,54,0,0,0,0,4,0,1
22,178.0,68.0,144,0,0,0,0,2,0,1
23,179.0,70.0,101,0,0,0,0,2,1,0
27,160.0,48.0,144,0,0,0,0,2,1,0
24,170.0,58.0,144,0,0,0,0,8,1,0
22,188.0,80.0,106,0,0,0,0,2,0,1
21,180.0,73.0,54,0,0,0,0,6,0,1
20,168.0,150.0,90,0,0,0,0,2,0,1
18,167.0,54.0,24,0,0,0,0,6,1,0
28,189.0,84.0,185,0,0,0,0,11,0,1
36,180.0,84.0,162,0,0,0,0,12,0,1
26,176.0,74.0,108,0,0,0,0,4,0,1
23,186.0,80.0,151,0,0,0,0,2,0,1
23,162.0,62.0,24,0,0,0,0,20,1,0
22,187.0,67.0,70,0,0,0,0,7,0,1
23,160.0,48.0,93,0,0,0,0,1,1,0
28,186.0,90.0,32,0,0,0,0,1,0,1
23,191.0,97.0,180,0,0,0,0,11,0,1
29,158.0,48.0,149,0,1,0,1,1,1,0
19,182.0,72.0,150,0,0,0,0,9,0,1
26,163.0,55.0,89,0,0,0,0,3,1,0
24,166.0,60.0,93,0,0,0,0,4,0,1
21,168.0,56.0,186,0,0,0,0,9,1,0
21,177.0,59.0,55,0,0,0,0,2,0,1
24,180.0,84.0,22,0,0,0,0,4,0,1
36,185.0,95.0,102,0,0,0,0,9,0,1
30,181.0,65.0,111,0,0,0,0,2,0,1
22,183.0,79.0,135,0,0,0,0,6,0,1
28,163.0,45.0,186,0,0,0,0,2,1,0
32,178.0,63.0,151,0,0,0,0,2,1,0
24,185.0,80.0,57,0,0,0,0,14,0,1
26,176.0,69.0,185,0,0,0,0,11,1,0
32,178.0,100.0,184,0,0,0,0,9,0,1
23,186.0,80.0,32,0,0,0,0,6,0,1
26,185.0,72.0,151,0,0,0,0,2,0,1
26,174.0,70.0,193,0,0,0,0,19,1,0
22,170.0,55.0,144,0,0,0,0,2,1,0
49,168.0,60.0,32,0,0,0,0,13,1,0
27,163.0,54.0,124,0,0,0,0,2,1,0
26,162.0,49.0,61,0,0,0,0,2,1,0
29,164.0,52.0,70,0,0,0,0,8,1,0
21,167.0,60.0,66,0,0,0,0,7,1,0
31,162.0,61.0,165,0,0,0,0,9,1,0
20,185.0,88.0,186,0,0,0,0,3,1,0
28,180.0,68.0,167,0,0,0,0,2,0,1
31,180.0,70.0,89,0,0,0,0,16,1,0
35,169.0,64.0,162,0,0,0,0,19,1,0
25,168.0,59.0,151,0,0,0,0,2,1,0
44,184.0,95.0,2,0,0,0,0,9,0,1
16,165.0,54.0,186,0,0,0,0,12,1,0
27,188.0,77.0,186,0,0,0,0,2,0,1
20,180.0,105.0,101,0,0,0,0,17,0,1
24,185.0,82.0,186,0,0,0,0,2,0,1
27,158.0,48.0,62,0,0,0,0,5,1,0
25,167.0,60.0,124,0,0,0,0,15,1,0
22,165.0,55.0,180,0,0,0,0,4,0,1
27,199.0,86.0,49,0,0,0,0,2,0,1
22,198.0,120.0,83,0,0,0,0,4,0,1
29,180.0,69.0,184,0,0,0,0,2,0,1
44,173.0,91.0,173,0,0,0,0,9,0,1
23,164.0,54.0,62,0,0,0,0,6,1,0
28,164.0,61.0,89,0,0,0,0,15,1,0
19,176.0,66.0,57,0,0,0,0,3,1,0
22,174.0,70.0,106,0,0,0,0,6,1,0
21,173.0,61.0,97,0,0,0,0,6,1,0
29,175.0,74.0,81,0,0,0,0,4,0,1
30,188.0,69.0,66,0,0,0,0,2,0,1
26,171.0,62.0,57,0,0,0,0,6,1,0
28,190.0,85.0,154,0,0,0,0,2,0,1
26,170.0,66.0,97,0,0,0,0,6,1,0
26,185.0,76.0,108,0,0,0,0,15,0,1
29,180.0,71.0,66,0,0,0,0,12,0,1
30,193.0,100.0,24,0,0,0,0,19,0,1
24,195.0,97.0,24,0,0,0,0,19,0,1
19,164.0,59.0,37,0,0,0,0,6,1,0
26,175.0,64.0,37,0,0,0,0,8,0,1
25,179.0,68.0,6,0,0,0,0,2,0,1
23,193.0,98.0,186,0,0,0,0,2,0,1
20,193.0,83.0,90,0,0,0,0,2,0,1
33,176.0,78.0,66,1,0,0,1,14,0,1
22,181.0,67.0,11,0,1,0,1,6,1,0
23,192.0,83.0,81,0,0,0,0,2,0,1
32,190.0,76.0,50,0,0,0,0,15,0,1
24,188.0,90.0,149,0,0,0,0,6,0,1
23,197.0,93.0,131,0,0,0,0,16,0,1
23,196.0,93.0,66,0,0,0,0,16,0,1
24,170.0,62.0,186,0,0,0,0,2,1,0
24,155.0,50.0,148,0,0,0,0,2,0,1
21,175.0,59.0,164,0,0,0,0,2,1,0
41,178.0,90.0,8,0,0,0,0,9,0,1
15,172.0,60.0,151,0,0,0,0,6,1,0
25,169.0,58.0,151,0,0,0,0,2,0,1
22,168.0,58.0,81,0,0,0,0,6,1,0
30,177.0,96.0,180,0,0,0,0,4,0,1
37,188.0,90.0,108,0,0,0,0,19,0,1
24,186.0,98.0,89,0,0,0,0,11,0,1
22,174.0,69.0,66,0,0,0,0,6,0,1
40,170.0,67.0,70,0,0,0,0,13,1,0
26,181.0,70.0,66,0,0,0,0,10,1,0
23,176.0,60.0,164,0,0,0,0,2,0,1
25,180.0,67.0,62,0,0,1,1,6,1,0
23,189.0,80.0,70,0,0,0,0,2,0,1
21,186.0,80.0,81,0,0,0,0,6,0,1
39,166.0,89.0,11,0,0,0,0,9,1,0
